x,y,attempt,log_attempt,made,missed
20,4,2,0.3010299956639812,0,2
21,4,1,0.0,1,0
22,4,3,0.47712125471966244,0,3
23,4,3,0.47712125471966244,2,1
24,4,3,0.47712125471966244,2,1
25,4,4,0.6020599913279624,2,2
28,4,2,0.3010299956639812,1,1
29,4,2,0.3010299956639812,1,1
30,4,1,0.0,0,1
31,4,2,0.3010299956639812,2,0
32,4,3,0.47712125471966244,1,2
33,4,3,0.47712125471966244,1,2
34,4,2,0.3010299956639812,2,0
35,4,1,0.0,1,0
38,4,1,0.0,0,1
39,4,1,0.0,0,1
40,4,1,0.0,0,1
41,4,2,0.3010299956639812,1,1
42,4,5,0.6989700043360189,1,4
43,4,4,0.6020599913279624,2,2
44,4,4,0.6020599913279624,1,3
45,4,4,0.6020599913279624,1,3
46,4,2,0.3010299956639812,1,1
47,4,1,0.0,1,0
48,4,1,0.0,1,0
49,4,3,0.47712125471966244,1,2
50,4,2,0.3010299956639812,2,0
51,4,1,0.0,1,0
52,4,2,0.3010299956639812,1,1
53,4,2,0.3010299956639812,2,0
54,4,5,0.6989700043360189,3,2
55,4,7,0.8450980400142568,3,4
56,4,3,0.47712125471966244,1,2
57,4,5,0.6989700043360189,3,2
58,4,1,0.0,0,1
59,4,3,0.47712125471966244,2,1
60,4,1,0.0,0,1
61,4,1,0.0,1,0
62,4,1,0.0,0,1
64,4,4,0.6020599913279624,0,4
65,4,1,0.0,1,0
66,4,2,0.3010299956639812,0,2
67,4,8,0.9030899869919435,2,6
68,4,3,0.47712125471966244,1,2
69,4,4,0.6020599913279624,0,4
71,4,1,0.0,1,0
72,4,3,0.47712125471966244,1,2
73,4,2,0.3010299956639812,2,0
74,4,1,0.0,0,1
75,4,1,0.0,0,1
76,4,2,0.3010299956639812,2,0
78,4,3,0.47712125471966244,3,0
79,4,1,0.0,1,0
80,4,1,0.0,0,1
82,4,2,0.3010299956639812,0,2
83,4,2,0.3010299956639812,0,2
85,4,2,0.3010299956639812,0,2
86,4,1,0.0,1,0
87,4,1,0.0,1,0
88,4,1,0.0,1,0
89,4,3,0.47712125471966244,1,2
90,4,3,0.47712125471966244,3,0
91,4,4,0.6020599913279624,2,2
92,4,39,1.591064607026499,14,25
93,4,35,1.5440680443502757,14,21
94,4,48,1.6812412373755872,19,29
95,4,47,1.6720978579357175,16,31
96,4,34,1.5314789170422551,9,25
97,4,36,1.5563025007672873,11,25
98,4,15,1.1760912590556813,4,11
99,4,13,1.1139433523068367,4,9
0,5,22,1.3424226808222062,6,16
1,5,21,1.3222192947339193,7,14
2,5,50,1.6989700043360187,19,31
3,5,57,1.7558748556724915,21,36
4,5,37,1.568201724066995,12,25
5,5,56,1.7481880270062005,23,33
6,5,3,0.47712125471966244,1,2
7,5,3,0.47712125471966244,1,2
8,5,4,0.6020599913279624,1,3
9,5,1,0.0,0,1
11,5,2,0.3010299956639812,1,1
14,5,2,0.3010299956639812,0,2
16,5,1,0.0,1,0
17,5,1,0.0,0,1
18,5,2,0.3010299956639812,0,2
21,5,5,0.6989700043360189,1,4
22,5,1,0.0,0,1
23,5,2,0.3010299956639812,1,1
24,5,1,0.0,1,0
25,5,3,0.47712125471966244,0,3
26,5,1,0.0,1,0
27,5,4,0.6020599913279624,1,3
28,5,2,0.3010299956639812,0,2
29,5,3,0.47712125471966244,0,3
30,5,3,0.47712125471966244,0,3
31,5,3,0.47712125471966244,0,3
32,5,3,0.47712125471966244,0,3
33,5,4,0.6020599913279624,0,4
34,5,1,0.0,0,1
35,5,1,0.0,0,1
37,5,3,0.47712125471966244,0,3
38,5,1,0.0,1,0
39,5,1,0.0,0,1
40,5,4,0.6020599913279624,4,0
41,5,2,0.3010299956639812,2,0
42,5,3,0.47712125471966244,0,3
43,5,6,0.7781512503836436,2,4
44,5,6,0.7781512503836436,2,4
45,5,5,0.6989700043360189,2,3
46,5,2,0.3010299956639812,1,1
47,5,5,0.6989700043360189,4,1
48,5,1,0.0,0,1
50,5,2,0.3010299956639812,2,0
51,5,4,0.6020599913279624,4,0
52,5,1,0.0,0,1
53,5,6,0.7781512503836436,4,2
54,5,5,0.6989700043360189,2,3
55,5,6,0.7781512503836436,3,3
56,5,5,0.6989700043360189,5,0
57,5,4,0.6020599913279624,2,2
58,5,2,0.3010299956639812,1,1
59,5,3,0.47712125471966244,2,1
60,5,1,0.0,1,0
62,5,1,0.0,1,0
63,5,1,0.0,0,1
64,5,1,0.0,0,1
65,5,3,0.47712125471966244,0,3
66,5,2,0.3010299956639812,0,2
67,5,3,0.47712125471966244,2,1
68,5,4,0.6020599913279624,2,2
69,5,2,0.3010299956639812,2,0
70,5,1,0.0,1,0
71,5,3,0.47712125471966244,0,3
72,5,1,0.0,1,0
73,5,2,0.3010299956639812,1,1
74,5,4,0.6020599913279624,2,2
75,5,1,0.0,1,0
76,5,2,0.3010299956639812,0,2
77,5,3,0.47712125471966244,1,2
78,5,2,0.3010299956639812,0,2
79,5,2,0.3010299956639812,1,1
80,5,1,0.0,0,1
82,5,3,0.47712125471966244,2,1
83,5,2,0.3010299956639812,0,2
84,5,1,0.0,1,0
85,5,4,0.6020599913279624,2,2
86,5,1,0.0,0,1
87,5,2,0.3010299956639812,1,1
88,5,1,0.0,0,1
89,5,3,0.47712125471966244,0,3
90,5,2,0.3010299956639812,1,1
91,5,2,0.3010299956639812,2,0
92,5,31,1.4913616938342726,10,21
93,5,41,1.6127838567197355,17,24
94,5,54,1.7323937598229686,17,37
95,5,61,1.7853298350107671,25,36
96,5,36,1.5563025007672873,17,19
97,5,33,1.5185139398778875,11,22
98,5,13,1.1139433523068367,5,8
99,5,16,1.2041199826559248,8,8
0,6,26,1.414973347970818,10,16
1,6,31,1.4913616938342726,6,25
2,6,93,1.968482948553935,32,61
3,6,105,2.0211892990699383,50,55
4,6,49,1.6901960800285136,17,32
5,6,62,1.792391689498254,24,38
6,6,5,0.6989700043360189,1,4
7,6,3,0.47712125471966244,1,2
8,6,3,0.47712125471966244,1,2
9,6,5,0.6989700043360189,1,4
10,6,7,0.8450980400142568,0,7
11,6,5,0.6989700043360189,4,1
12,6,7,0.8450980400142568,4,3
13,6,4,0.6020599913279624,2,2
14,6,9,0.9542425094393249,4,5
15,6,5,0.6989700043360189,2,3
16,6,3,0.47712125471966244,1,2
17,6,5,0.6989700043360189,1,4
18,6,6,0.7781512503836436,3,3
19,6,4,0.6020599913279624,2,2
20,6,8,0.9030899869919435,0,8
21,6,5,0.6989700043360189,2,3
22,6,6,0.7781512503836436,2,4
23,6,7,0.8450980400142568,1,6
24,6,7,0.8450980400142568,0,7
25,6,9,0.9542425094393249,3,6
26,6,6,0.7781512503836436,0,6
27,6,2,0.3010299956639812,1,1
28,6,5,0.6989700043360189,1,4
29,6,4,0.6020599913279624,2,2
30,6,9,0.9542425094393249,4,5
31,6,7,0.8450980400142568,1,6
32,6,10,1.0,7,3
33,6,8,0.9030899869919435,2,6
34,6,12,1.0791812460476249,3,9
35,6,4,0.6020599913279624,2,2
36,6,5,0.6989700043360189,3,2
37,6,5,0.6989700043360189,2,3
38,6,11,1.0413926851582251,5,6
39,6,7,0.8450980400142568,2,5
40,6,26,1.414973347970818,12,14
41,6,32,1.505149978319906,12,20
42,6,72,1.8573324964312685,50,22
43,6,89,1.9493900066449128,56,33
44,6,142,2.1522883443830563,98,44
45,6,134,2.1271047983648077,80,54
46,6,70,1.845098040014257,52,18
47,6,85,1.9294189257142926,68,17
48,6,1241,3.09377178149873,905,336
49,6,1237,3.0923696996291206,898,339
50,6,1207,3.081707270097349,887,320
51,6,1212,3.0835026198302673,882,330
52,6,67,1.8260748027008264,53,14
53,6,85,1.9294189257142926,66,19
54,6,116,2.0644579892269186,78,38
55,6,136,2.1335389083702174,86,50
56,6,62,1.792391689498254,34,28
57,6,78,1.8920946026904804,48,30
58,6,22,1.3424226808222062,7,15
59,6,29,1.462397997898956,16,13
60,6,9,0.9542425094393249,5,4
61,6,12,1.0791812460476249,6,6
62,6,9,0.9542425094393249,3,6
63,6,7,0.8450980400142568,2,5
64,6,6,0.7781512503836436,3,3
65,6,7,0.8450980400142568,2,5
66,6,8,0.9030899869919435,0,8
67,6,15,1.1760912590556813,4,11
68,6,6,0.7781512503836436,2,4
69,6,8,0.9030899869919435,2,6
70,6,11,1.0413926851582251,3,8
71,6,7,0.8450980400142568,2,5
72,6,10,1.0,4,6
73,6,4,0.6020599913279624,1,3
74,6,8,0.9030899869919435,1,7
75,6,4,0.6020599913279624,1,3
76,6,5,0.6989700043360189,0,5
77,6,5,0.6989700043360189,2,3
78,6,6,0.7781512503836436,2,4
79,6,10,1.0,2,8
80,6,2,0.3010299956639812,0,2
81,6,7,0.8450980400142568,4,3
82,6,4,0.6020599913279624,1,3
83,6,7,0.8450980400142568,3,4
84,6,3,0.47712125471966244,0,3
85,6,2,0.3010299956639812,1,1
86,6,7,0.8450980400142568,4,3
87,6,1,0.0,1,0
88,6,3,0.47712125471966244,1,2
89,6,2,0.3010299956639812,1,1
90,6,4,0.6020599913279624,2,2
91,6,4,0.6020599913279624,1,3
92,6,56,1.7481880270062005,16,40
93,6,49,1.6901960800285136,14,35
94,6,75,1.8750612633917,26,49
95,6,71,1.8512583487190752,27,44
96,6,47,1.6720978579357175,18,29
97,6,54,1.7323937598229686,18,36
98,6,21,1.3222192947339193,8,13
99,6,18,1.255272505103306,7,11
0,7,22,1.3424226808222062,10,12
1,7,31,1.4913616938342726,10,21
2,7,107,2.0293837776852097,38,69
3,7,103,2.012837224705172,39,64
4,7,56,1.7481880270062005,21,35
5,7,65,1.8129133566428555,27,38
6,7,3,0.47712125471966244,1,2
7,7,4,0.6020599913279624,2,2
8,7,6,0.7781512503836436,3,3
9,7,4,0.6020599913279624,2,2
10,7,4,0.6020599913279624,0,4
11,7,2,0.3010299956639812,0,2
12,7,5,0.6989700043360189,1,4
13,7,6,0.7781512503836436,2,4
14,7,5,0.6989700043360189,1,4
15,7,8,0.9030899869919435,6,2
16,7,3,0.47712125471966244,0,3
17,7,4,0.6020599913279624,1,3
18,7,4,0.6020599913279624,2,2
19,7,4,0.6020599913279624,0,4
20,7,6,0.7781512503836436,4,2
21,7,8,0.9030899869919435,1,7
22,7,7,0.8450980400142568,0,7
23,7,3,0.47712125471966244,0,3
24,7,6,0.7781512503836436,1,5
25,7,13,1.1139433523068367,4,9
26,7,7,0.8450980400142568,1,6
27,7,5,0.6989700043360189,1,4
28,7,12,1.0791812460476249,3,9
29,7,5,0.6989700043360189,2,3
30,7,3,0.47712125471966244,0,3
31,7,8,0.9030899869919435,1,7
32,7,8,0.9030899869919435,4,4
33,7,8,0.9030899869919435,4,4
34,7,12,1.0791812460476249,5,7
35,7,9,0.9542425094393249,2,7
36,7,12,1.0791812460476249,7,5
37,7,7,0.8450980400142568,1,6
38,7,3,0.47712125471966244,0,3
39,7,6,0.7781512503836436,0,6
40,7,29,1.462397997898956,16,13
41,7,27,1.4313637641589874,9,18
42,7,70,1.845098040014257,41,29
43,7,122,2.0863598306747484,68,54
44,7,142,2.1522883443830563,102,40
45,7,139,2.143014800254095,113,26
46,7,97,1.9867717342662448,73,24
47,7,91,1.9590413923210936,58,33
48,7,1210,3.0827853703164503,897,313
49,7,1158,3.0637085593914173,868,290
50,7,1244,3.0948203803548,919,325
51,7,1251,3.09725730969342,913,338
52,7,86,1.9344984512435677,59,27
53,7,84,1.9242792860618816,57,27
54,7,116,2.0644579892269186,79,37
55,7,132,2.12057393120585,80,52
56,7,90,1.954242509439325,49,41
57,7,85,1.9294189257142926,51,34
58,7,35,1.5440680443502757,16,19
59,7,32,1.505149978319906,15,17
60,7,14,1.146128035678238,6,8
61,7,9,0.9542425094393249,3,6
62,7,7,0.8450980400142568,4,3
63,7,7,0.8450980400142568,3,4
64,7,4,0.6020599913279624,2,2
65,7,12,1.0791812460476249,1,11
66,7,10,1.0,4,6
67,7,5,0.6989700043360189,2,3
68,7,6,0.7781512503836436,1,5
69,7,4,0.6020599913279624,1,3
70,7,5,0.6989700043360189,2,3
71,7,9,0.9542425094393249,2,7
72,7,9,0.9542425094393249,4,5
73,7,2,0.3010299956639812,0,2
74,7,10,1.0,2,8
75,7,13,1.1139433523068367,5,8
76,7,8,0.9030899869919435,3,5
77,7,7,0.8450980400142568,2,5
78,7,6,0.7781512503836436,1,5
79,7,4,0.6020599913279624,2,2
